violet_stone_count,brown_stone_count,bauxite_kg
113,426,8.137485041738545
143,467,9.165488361670112
97,422,6.450001120215928
117,267,7.658145603098719
32,352,3.1907588171592485
142,431,9.386969459935578
45,110,4.1209311113654925
61,219,4.724512274554351
115,441,7.549217265998651
149,191,9.884682162528899
64,411,4.85578063980705
49,286,4.3453005388988615
16,426,2.430819337011806
80,263,6.0565679412592965
22,159,2.461286966669616
135,209,8.629178908660457
74,244,5.38494322971291
2,405,2.5398794560285913
119,349,7.582361421530383
17,473,3.3739089916363554
66,411,4.762360108644403
56,492,4.937494363681006
21,339,2.8140850178269883
97,434,6.105471080481104
128,273,7.957004823064277
45,294,4.653463142485608
54,336,5.644963036174419
142,310,9.926847258068502
90,155,7.069863306302646
24,113,2.780436056493359
60,139,4.951320586147822
121,151,7.711632976144849
110,264,8.014056177413204
125,328,8.329836090458347
73,359,5.33645778887685
91,253,5.989979247660136
78,125,5.889880943439151
15,185,2.4743899736506036
133,186,9.467074569765543
145,376,8.896846487987762
79,137,5.65971106599497
53,384,5.168199941188998
74,324,5.796149146319332
42,266,3.834318070641266
67,296,4.504991213067244
6,337,2.099950054807701
20,373,3.2498447396840473
24,376,3.6830293308549704
93,380,6.282836429380287
78,183,6.075483376840151
65,411,6.2084125791601315
46,225,4.918954719363674
67,231,5.385981105854146
38,350,4.256515727282316
126,163,7.745551832647604
109,311,7.358980334037844
20,198,2.6803270420111027
110,216,7.579610224719533
59,432,5.3710351177370566
23,376,3.231908107398658
81,163,6.268660783090998
84,466,6.5713768250239415
31,173,3.93309981681737
106,447,6.860509325816293
98,223,7.502704776357874
48,180,4.251387410963361
124,135,7.656407558052159
74,318,5.705611274480726
71,119,4.853578425445917
63,197,6.097278734410798
9,176,2.737439474487473
18,309,2.854681207646566
144,247,9.626503178326548
109,248,8.059550893063355
67,238,4.968014027524307
78,225,5.664274802478702
6,417,2.6557023500295545
66,192,4.986267431654048
109,102,7.710967361170524
6,240,2.9697045151272468
27,412,3.448118636764342
140,273,9.373811275159527
109,432,7.492227186460421
110,272,8.017521224089897
48,251,3.5151890109067216
141,342,9.142040950445917
15,404,2.2880477739879943
55,438,4.456907323231922
88,200,6.727774476546609
25,452,3.0914154378413787
14,242,2.6181213358231537
27,471,3.3481710412990813
6,250,2.337076951783119
68,437,6.113352896012569
81,499,5.875274906540509
30,280,3.4790328508050794
62,147,5.806072045870429
15,469,3.0137300746719515
128,240,8.10238985617857
145,327,9.104397426445026
