pages_per_day_samples,age_samples,days_in_yrs_samples
14,29,180
36,38,64
24,26,101
18,36,134
0,24,180
131,38,7
12,29,180
28,31,79
44,30,48
67,37,28
43,40,180
32,36,78
91,39,22
46,33,5
60,40,30
62,48,37
34,29,8
51,32,43
33,34,72
29,38,82
21,33,112
54,34,36
25,27,95
27,34,81
20,21,118
47,29,49
65,42,31
19,38,127
82,45,27
56,37,27
15,29,162
32,42,72
56,50,44
45,39,52
90,41,17
43,30,43
142,48,11
99,43,21
42,42,54
56,51,34
58,34,33
47,28,42
95,38,11
13,35,180
0,39,180
177,53,3
33,23,66
153,60,9
39,42,54
27,30,87
158,56,96
10,41,180
165,51,0
95,42,10
45,42,44
23,29,108
250,60,0
57,32,38
45,34,46
132,41,8
34,35,67
34,35,74
55,30,43
17,27,147
57,36,36
45,31,48
44,36,52
52,29,44
58,47,37
22,33,108
20,30,117
91,45,24
33,37,64
132,46,14
41,28,59
35,39,59
37,35,64
47,33,46
43,40,54
36,45,64
20,38,124
45,43,54
68,27,29
70,37,26
129,47,11
79,41,15
51,42,47
96,54,17
20,44,119
16,27,155
13,21,180
22,40,119
55,35,43
43,42,53
28,38,91
59,33,38
28,39,87
122,40,18
75,39,32
14,25,180
46,38,52
16,29,159
36,26,71
51,32,51
14,26,180
51,35,46
79,39,28
17,33,146
11,28,180
28,32,82
70,43,26
65,36,23
27,35,88
54,29,38
28,25,79
109,42,19
26,42,89
81,40,23
31,33,78
55,44,42
39,28,57
48,28,48
81,43,28
35,38,65
183,52,1
41,28,56
63,32,24
122,35,13
61,41,34
62,41,35
34,39,67
64,42,27
24,32,101
0,36,180
33,43,71
53,44,44
43,37,50
32,36,71
74,42,25
44,29,48
17,32,148
28,37,80
22,27,109
65,35,26
27,29,85
24,34,12
24,40,90
27,36,85
31,25,75
35,32,62
